ACT composite score,SAT total score,parental level of education,parental income,high school gpa,college gpa,years to graduate,zeros,zeros+1
27,1991,some college,68616.0,3.7,3.7,3,0,6
29,1874,some high school,32290.0,3.7,3.2,6,0,12
33,2194,associate's degree,75808.0,4.0,3.2,5,0,10
29,1947,some college,81062.0,3.7,3.3,8,0,16
23,1641,some high school,46539.0,2.9,3.1,5,0,10
25,1835,some high school,71287.0,3.5,3.1,9,0,18
24,1878,high school,32558.0,3.2,3.1,7,0,14
31,2096,associate's degree,85614.0,4.0,3.6,5,0,10
26,1905,some college,77822.0,3.6,3.4,6,0,12
29,2049,some college,54889.0,3.8,3.5,5,0,10
28,2085,associate's degree,56238.0,3.9,3.3,5,0,10
30,2069,associate's degree,57088.0,3.9,3.5,6,0,12
29,1974,some high school,45734.0,3.7,3.1,6,0,12
27,1697,high school,61105.0,3.2,3.4,4,0,8
30,2003,high school,37407.0,3.9,3.2,5,0,10
32,2154,bachelor's degree,97216.0,4.0,3.5,4,0,8
31,2303,bachelor's degree,71074.0,4.0,3.7,3,0,6
29,2018,high school,65630.0,3.8,3.3,7,0,14
28,1942,high school,73605.0,3.5,3.4,4,0,8
35,2294,bachelor's degree,82854.0,4.0,3.5,5,0,10
28,1981,some college,55058.0,3.8,3.5,3,0,6
26,1823,some high school,50215.0,3.2,3.1,4,0,8
34,2309,associate's degree,82318.0,4.0,3.7,5,0,10
29,1878,some college,59498.0,3.6,3.5,3,0,6
31,2003,high school,57031.0,3.9,3.2,5,0,10
25,1839,high school,40535.0,3.3,3.3,5,0,10
27,1965,some high school,64972.0,3.6,3.3,5,0,10
31,2111,some high school,42677.0,4.0,3.4,6,0,12
29,1960,high school,41021.0,3.7,3.5,5,0,10
26,1775,some college,57070.0,3.4,3.4,3,0,6
26,2027,associate's degree,75587.0,3.8,3.5,4,0,8
29,2213,master's degree,62673.0,4.0,3.3,4,0,8
28,1920,associate's degree,91846.0,3.6,3.0,5,0,10
29,2069,some college,98439.0,3.8,3.8,3,0,6
30,2014,high school,67978.0,3.8,3.6,6,0,12
25,1776,high school,69155.0,3.1,2.8,5,0,10
24,1822,associate's degree,51659.0,3.5,3.0,9,0,18
29,2014,master's degree,64132.0,3.9,3.3,4,0,8
29,2000,some college,81137.0,3.7,3.4,4,0,8
28,1957,some high school,56604.0,3.6,3.3,6,0,12
29,2142,master's degree,54409.0,3.9,3.6,3,0,6
27,2024,bachelor's degree,82740.0,3.7,3.3,4,0,8
34,2330,bachelor's degree,80162.0,4.0,3.6,6,0,12
28,1964,some college,66886.0,3.8,3.4,4,0,8
29,1973,associate's degree,63686.0,3.7,3.5,4,0,8
31,2145,master's degree,76637.0,4.0,3.2,6,0,12
28,2047,bachelor's degree,111565.0,3.9,3.7,6,0,12
32,2138,high school,51710.0,4.0,3.4,4,0,8
29,1984,some high school,70655.0,3.8,3.5,4,0,8
34,2330,some college,69850.0,4.0,3.6,6,0,12
31,2062,associate's degree,60588.0,4.0,3.3,4,0,8
28,2026,master's degree,80678.0,3.9,3.3,7,0,14
29,2081,bachelor's degree,69070.0,4.0,3.3,4,0,8
24,1794,some college,63960.0,3.4,3.5,3,0,6
30,2108,master's degree,101757.0,4.0,3.4,5,0,10
27,1856,high school,58081.0,3.4,3.3,6,0,12
27,1802,some high school,52986.0,3.4,3.5,7,0,14
28,2014,bachelor's degree,70446.0,3.8,3.2,5,0,10
28,2079,master's degree,96811.0,4.0,3.3,7,0,14
30,1997,some high school,65028.0,3.8,3.5,6,0,12
23,1710,some college,74896.0,3.1,3.4,6,0,12
31,2067,associate's degree,85063.0,4.0,3.8,3,0,6
32,2050,some high school,30030.0,3.9,3.1,6,0,12
30,2099,associate's degree,70238.0,4.0,3.6,7,0,14
25,1746,high school,62617.0,3.2,3.4,4,0,8
28,1961,associate's degree,92044.0,3.7,3.2,7,0,14
31,2086,some college,79089.0,3.9,3.7,5,0,10
34,2327,master's degree,85855.0,4.0,3.5,4,0,8
32,2083,associate's degree,53867.0,4.0,3.2,6,0,12
33,2354,associate's degree,67698.0,4.0,3.7,4,0,8
31,2007,some college,76363.0,4.0,3.4,7,0,14
32,2098,some high school,58011.0,3.9,3.3,4,0,8
28,2067,associate's degree,90774.0,3.8,3.7,3,0,6
22,1662,some high school,51744.0,2.9,2.7,5,0,10
23,1664,high school,79157.0,2.9,3.6,3,0,6
28,2038,associate's degree,71289.0,3.7,3.7,5,0,10
31,2111,some high school,63644.0,4.0,3.3,4,0,8
31,2000,high school,40613.0,3.9,3.2,6,0,12
32,2183,some college,64874.0,4.0,3.4,6,0,12
30,2077,high school,46431.0,3.9,3.1,6,0,12
29,2060,high school,63017.0,3.9,3.6,5,0,10
28,2064,bachelor's degree,85687.0,3.9,3.8,5,0,10
30,1988,bachelor's degree,100312.0,3.9,3.5,4,0,8
27,1878,some college,53253.0,3.6,3.1,8,0,16
28,1843,some high school,50083.0,3.5,3.1,6,0,12
28,1901,high school,68974.0,3.4,3.4,8,0,16
26,1940,some college,80435.0,3.5,3.0,8,0,16
29,2011,associate's degree,61318.0,3.8,3.0,7,0,14
28,1928,some high school,65130.0,3.5,3.6,3,0,6
33,2207,some college,63092.0,4.0,3.4,4,0,8
23,1724,some high school,54818.0,3.0,3.3,3,0,6
29,1970,some high school,76065.0,3.7,3.3,5,0,10
28,1924,some high school,25052.0,3.5,3.4,6,0,12
33,2301,master's degree,85959.0,4.0,3.4,6,0,12
30,2177,some college,59979.0,4.0,3.3,4,0,8
33,2191,some college,67834.0,4.0,3.6,4,0,8
26,1775,some college,74739.0,3.4,3.1,8,0,16
28,2082,some college,75206.0,3.9,3.1,5,0,10
26,1891,associate's degree,84455.0,3.3,3.3,5,0,10
26,1873,high school,63728.0,3.4,3.5,3,0,6
31,2068,associate's degree,70007.0,4.0,3.2,6,0,12
28,1979,high school,50078.0,3.6,3.6,3,0,6
28,1888,some college,80294.0,3.7,3.4,4,0,8
29,2163,bachelor's degree,111580.0,4.0,3.6,7,0,14
30,1981,high school,52113.0,3.7,3.4,5,0,10
31,2066,master's degree,86211.0,3.9,3.5,4,0,8
27,1876,high school,69239.0,3.4,3.6,5,0,10
25,1786,high school,51917.0,3.3,3.1,4,0,8
29,2071,some college,87462.0,3.9,3.5,5,0,10
28,2043,some high school,75790.0,3.7,3.5,4,0,8
29,1966,associate's degree,79421.0,3.7,3.6,4,0,8
26,1745,high school,58652.0,3.2,3.3,4,0,8
33,2157,some college,46162.0,4.0,3.3,5,0,10
31,2180,master's degree,93940.0,4.0,3.5,5,0,10
28,1912,high school,64039.0,3.6,3.4,6,0,12
31,2049,associate's degree,80808.0,3.9,3.8,4,0,8
25,1880,some college,34272.0,3.5,3.3,7,0,14
26,1777,high school,62391.0,3.2,3.2,5,0,10
31,2051,bachelor's degree,81731.0,4.0,3.6,4,0,8
33,2153,associate's degree,74855.0,4.0,3.5,5,0,10
24,1772,some high school,45746.0,3.3,3.0,5,0,10
27,1982,some college,57364.0,3.6,3.2,4,0,8
31,2191,master's degree,96879.0,4.0,3.7,4,0,8
26,1884,some high school,46347.0,3.5,3.3,6,0,12
28,1965,high school,70179.0,3.5,3.0,8,0,16
26,1922,high school,52687.0,3.5,3.3,4,0,8
26,1851,some college,56543.0,3.4,3.5,3,0,6
28,1759,high school,84265.0,3.3,3.3,4,0,8
32,2148,bachelor's degree,112865.0,4.0,3.8,4,0,8
28,1895,some high school,32357.0,3.7,3.2,5,0,10
26,1955,some college,82047.0,3.7,3.6,3,0,6
27,1976,some high school,66320.0,3.8,3.7,3,0,6
22,1738,some college,89734.0,3.1,3.1,5,0,10
32,2188,some college,88846.0,4.0,3.7,5,0,10
28,1993,master's degree,83385.0,3.6,3.4,7,0,14
30,2079,master's degree,91867.0,4.0,3.8,3,0,6
28,2028,some college,46390.0,3.8,3.4,6,0,12
30,2001,some college,87667.0,3.8,3.5,5,0,10
27,1881,high school,50248.0,3.4,3.1,4,0,8
27,1897,some college,70152.0,3.6,3.6,3,0,6
31,2133,some college,72536.0,4.0,3.2,5,0,10
27,1859,some college,83756.0,3.4,2.9,5,0,10
31,2031,associate's degree,54082.0,4.0,3.7,6,0,12
30,2101,bachelor's degree,71340.0,4.0,3.1,8,0,16
26,1921,high school,89368.0,3.4,3.4,4,0,8
30,2167,bachelor's degree,72606.0,4.0,3.8,6,0,12
29,1906,some high school,59743.0,3.7,3.3,8,0,16
31,2106,master's degree,76544.0,4.0,3.2,5,0,10
27,1894,some college,65880.0,3.6,3.3,4,0,8
31,2158,some high school,22191.0,4.0,3.4,6,0,12
28,1941,some college,73652.0,3.6,3.4,5,0,10
33,2078,some college,59329.0,4.0,3.3,4,0,8
31,2105,some high school,41372.0,4.0,3.3,6,0,12
28,1925,some high school,55335.0,3.6,3.5,3,0,6
26,1892,high school,68167.0,3.4,3.2,7,0,14
24,1799,some high school,50326.0,3.2,3.2,4,0,8
31,2214,some college,75645.0,4.0,3.8,3,0,6
27,2024,some college,61769.0,3.8,3.3,5,0,10
26,1954,high school,43384.0,3.5,3.3,5,0,10
28,1928,associate's degree,94921.0,3.6,3.6,6,0,12
27,1918,high school,64682.0,3.5,3.6,3,0,6
25,1772,high school,49063.0,3.1,3.0,5,0,10
27,1961,some high school,32992.0,3.6,3.3,5,0,10
30,2105,master's degree,96412.0,3.9,3.6,4,0,8
27,1823,high school,60404.0,3.3,3.4,8,0,16
34,2211,some college,72022.0,4.0,3.5,4,0,8
30,2079,high school,46946.0,3.8,3.4,5,0,10
22,1715,some high school,83495.0,3.0,3.1,4,0,8
27,1933,high school,52021.0,3.5,3.3,5,0,10
30,2106,some high school,51653.0,3.9,3.6,3,0,6
29,2091,some college,51426.0,3.9,3.7,4,0,8
27,1894,bachelor's degree,88103.0,3.5,3.0,6,0,12
27,1909,some high school,49781.0,3.6,3.2,5,0,10
26,1898,associate's degree,63890.0,3.4,3.3,4,0,8
25,1707,some high school,72767.0,3.2,3.4,6,0,12
28,2062,associate's degree,87492.0,4.0,3.8,3,0,6
30,2015,high school,70737.0,3.9,3.8,4,0,8
29,2021,high school,60404.0,3.9,3.6,4,0,8
23,1749,high school,55410.0,2.9,3.0,4,0,8
21,1640,some high school,54847.0,2.8,3.4,3,0,6
31,2000,some high school,49405.0,3.8,3.3,5,0,10
27,1903,high school,53437.0,3.6,3.4,4,0,8
25,1882,some college,71828.0,3.3,3.2,8,0,16
30,2105,bachelor's degree,84698.0,4.0,3.8,3,0,6
31,1989,some college,68788.0,3.8,3.4,4,0,8
29,1937,some high school,75042.0,3.6,3.2,5,0,10
32,2139,bachelor's degree,103774.0,4.0,4.0,3,0,6
25,1747,some college,74725.0,3.2,3.2,5,0,10
34,2172,master's degree,115112.0,4.0,3.9,4,0,8
27,1926,high school,68447.0,3.5,3.3,5,0,10
26,1941,some high school,35481.0,3.6,3.1,5,0,10
25,1850,some college,54880.0,3.4,3.1,4,0,8
28,1924,some college,76989.0,3.7,3.3,4,0,8
30,2101,bachelor's degree,71120.0,4.0,3.3,5,0,10
25,1763,some high school,56887.0,3.2,3.3,4,0,8
32,2156,associate's degree,104360.0,4.0,4.0,3,0,6
32,2279,bachelor's degree,65650.0,4.0,3.3,5,0,10
29,1993,high school,61607.0,3.7,3.4,4,0,8
29,2073,bachelor's degree,86205.0,4.0,3.5,5,0,10
26,1833,high school,61853.0,3.4,3.4,6,0,12
23,1811,high school,53721.0,3.1,3.3,3,0,6
26,1951,high school,52750.0,3.6,3.1,5,0,10
31,2174,bachelor's degree,67851.0,4.0,3.4,4,0,8
25,1856,associate's degree,84679.0,3.3,3.3,5,0,10
28,2004,high school,31889.0,3.6,3.3,5,0,10
28,2109,master's degree,94346.0,3.8,3.4,4,0,8
31,1985,some high school,72416.0,3.9,3.4,4,0,8
31,2114,bachelor's degree,70412.0,4.0,3.2,5,0,10
28,1958,some high school,49516.0,3.7,3.3,6,0,12
29,2042,bachelor's degree,113597.0,4.0,3.8,3,0,6
29,2001,bachelor's degree,65737.0,3.7,3.5,4,0,8
29,2031,some college,81633.0,4.0,3.4,7,0,14
27,1857,associate's degree,58164.0,3.4,3.3,6,0,12
29,1965,some college,72052.0,3.5,3.2,4,0,8
32,2049,high school,79015.0,4.0,3.9,3,0,6
30,2038,master's degree,68861.0,3.9,3.3,6,0,12
24,1840,some college,69606.0,3.2,3.1,5,0,10
26,1779,some college,66114.0,3.4,3.1,5,0,10
28,1954,some high school,22892.0,3.7,3.3,6,0,12
30,2024,high school,41464.0,3.9,3.2,6,0,12
25,1812,some high school,46645.0,3.3,3.3,4,0,8
24,1788,some college,68691.0,3.2,3.0,6,0,12
29,1988,some college,88421.0,3.8,3.2,6,0,12
27,2076,bachelor's degree,70671.0,4.0,3.0,5,0,10
27,1863,associate's degree,70826.0,3.5,3.4,4,0,8
30,2189,bachelor's degree,102665.0,4.0,3.9,3,0,6
35,2278,associate's degree,93446.0,4.0,3.8,5,0,10
29,2009,bachelor's degree,111894.0,3.7,3.4,4,0,8
30,2063,high school,46029.0,3.9,3.4,6,0,12
26,1958,some college,54810.0,3.6,3.3,6,0,12
35,2296,master's degree,83525.0,4.0,3.8,4,0,8
27,1991,master's degree,89224.0,3.7,3.6,3,0,6
31,2087,associate's degree,71209.0,4.0,3.8,7,0,14
29,1997,associate's degree,51380.0,3.7,3.4,3,0,6
29,2074,high school,39310.0,3.8,3.1,6,0,12
26,1835,high school,67736.0,3.3,3.5,3,0,6
28,1999,bachelor's degree,107502.0,3.9,3.8,3,0,6
28,1893,high school,30293.0,3.4,3.2,7,0,14
30,2171,bachelor's degree,77054.0,4.0,3.5,8,0,16
31,2115,bachelor's degree,100889.0,4.0,3.7,4,0,8
25,1816,bachelor's degree,92063.0,3.4,3.0,5,0,10
29,2048,some college,70458.0,3.8,3.4,4,0,8
32,2047,associate's degree,90475.0,4.0,3.7,4,0,8
30,1967,some high school,24122.0,3.7,3.3,8,0,16
30,1970,high school,48860.0,3.8,3.5,4,0,8
29,2010,associate's degree,72982.0,3.7,3.6,3,0,6
30,1943,high school,56933.0,3.6,3.5,3,0,6
34,2296,master's degree,61254.0,4.0,3.7,4,0,8
29,1966,high school,66154.0,3.5,3.4,4,0,8
27,2014,associate's degree,53131.0,3.7,3.5,3,0,6
25,1729,some high school,22697.0,3.1,3.0,5,0,10
28,1833,bachelor's degree,111333.0,3.5,3.3,7,0,14
27,1986,some college,49942.0,3.6,3.6,4,0,8
25,1819,some high school,28525.0,3.2,3.0,5,0,10
25,1778,some college,81119.0,3.3,3.2,4,0,8
29,1917,high school,46412.0,3.7,3.5,4,0,8
33,2266,some college,95279.0,4.0,3.6,5,0,10
29,2023,associate's degree,88770.0,3.8,3.7,3,0,6
24,1781,some college,72460.0,3.3,3.1,7,0,14
28,1932,high school,32585.0,3.6,3.1,7,0,14
29,2003,some high school,66611.0,3.8,3.4,6,0,12
31,2125,bachelor's degree,92900.0,4.0,3.2,5,0,10
27,1899,some high school,73054.0,3.5,3.4,4,0,8
28,1945,bachelor's degree,91741.0,3.8,3.5,4,0,8
28,1883,some high school,56567.0,3.5,3.5,3,0,6
28,1927,associate's degree,82803.0,3.5,3.6,3,0,6
29,1964,high school,76164.0,3.6,3.3,4,0,8
28,1979,associate's degree,82767.0,3.8,3.6,4,0,8
28,1995,some high school,45634.0,3.7,3.2,5,0,10
27,1949,some high school,30833.0,3.6,3.4,4,0,8
26,1763,high school,38095.0,3.3,3.3,8,0,16
28,2024,some high school,71050.0,3.8,3.3,6,0,12
34,2234,high school,41676.0,4.0,3.4,9,0,18
27,1809,some college,52098.0,3.3,3.0,9,0,18
35,2278,associate's degree,103101.0,4.0,3.9,4,0,8
31,2162,some college,92781.0,4.0,3.7,4,0,8
27,1979,some high school,69626.0,3.7,3.5,4,0,8
28,1987,some high school,68928.0,3.7,3.4,6,0,12
34,2308,master's degree,108832.0,4.0,3.9,4,0,8
29,2026,associate's degree,101966.0,3.7,3.5,5,0,10
32,2186,some college,54361.0,4.0,3.5,4,0,8
29,2118,some high school,32963.0,3.9,3.1,7,0,14
33,2110,high school,70819.0,4.0,3.8,3,0,6
32,2037,high school,84231.0,3.9,3.5,6,0,12
29,2034,associate's degree,58720.0,4.0,3.6,5,0,10
26,1883,associate's degree,57927.0,3.5,3.4,4,0,8
26,1830,high school,33668.0,3.5,3.5,4,0,8
29,2080,master's degree,89541.0,4.0,3.7,3,0,6
29,2021,some high school,33392.0,3.8,3.5,4,0,8
28,2136,bachelor's degree,80213.0,4.0,3.4,4,0,8
25,1831,bachelor's degree,74145.0,3.4,3.2,4,0,8
26,1975,some high school,37441.0,3.5,2.9,6,0,12
35,2265,associate's degree,79530.0,4.0,3.7,7,0,14
26,1963,master's degree,89885.0,3.5,3.2,4,0,8
32,2251,bachelor's degree,90652.0,4.0,3.8,5,0,10
28,1928,high school,79511.0,3.7,3.7,3,0,6
24,1801,some college,84588.0,3.3,3.2,4,0,8
30,2033,bachelor's degree,78168.0,3.8,3.5,5,0,10
32,2134,master's degree,101832.0,4.0,3.6,4,0,8
29,1984,some high school,54859.0,3.8,3.6,5,0,10
23,1750,some high school,45059.0,3.1,2.9,6,0,12
27,1909,some college,50764.0,3.5,3.2,6,0,12
29,1985,associate's degree,83925.0,3.6,3.5,6,0,12
29,2086,bachelor's degree,82881.0,4.0,3.2,5,0,10
27,1896,some college,71634.0,3.5,3.2,4,0,8
34,2358,associate's degree,83577.0,4.0,3.6,4,0,8
28,2097,master's degree,124470.0,3.9,3.6,7,0,14
28,1988,some college,57703.0,3.8,3.3,4,0,8
28,2078,some college,91873.0,3.9,3.5,5,0,10
27,1884,some high school,22932.0,3.6,3.0,5,0,10
25,1892,bachelor's degree,72725.0,3.4,3.3,4,0,8
27,1973,some college,82813.0,3.5,3.3,4,0,8
28,2064,some college,70783.0,3.8,3.5,4,0,8
27,1882,associate's degree,67599.0,3.5,3.3,4,0,8
30,2055,some college,84318.0,4.0,3.5,4,0,8
34,2142,some high school,32371.0,4.0,3.5,5,0,10
27,1950,high school,89155.0,3.5,3.2,7,0,14
30,2204,some college,85745.0,4.0,3.4,6,0,12
29,2056,some high school,45521.0,3.8,3.2,5,0,10
27,1873,some college,86540.0,3.5,3.3,5,0,10
26,1919,some high school,63216.0,3.5,3.5,4,0,8
33,2198,bachelor's degree,107353.0,4.0,3.6,5,0,10
27,1989,bachelor's degree,71910.0,3.8,3.5,3,0,6
26,1882,some high school,55525.0,3.4,3.1,5,0,10
32,2090,bachelor's degree,94402.0,4.0,3.7,3,0,6
27,1895,high school,56359.0,3.6,3.3,4,0,8
25,1708,some college,47134.0,3.2,3.0,5,0,10
28,1933,high school,44433.0,3.7,3.1,8,0,16
31,2178,high school,63953.0,4.0,3.6,4,0,8
23,1772,some college,62215.0,3.2,3.3,3,0,6
28,1976,high school,44273.0,3.7,3.4,5,0,10
30,2046,high school,61291.0,3.8,3.5,4,0,8
29,1972,some high school,57891.0,3.8,3.4,4,0,8
30,2014,associate's degree,57454.0,4.0,3.1,6,0,12
31,2180,bachelor's degree,54502.0,4.0,3.3,4,0,8
34,2342,bachelor's degree,98469.0,4.0,3.3,5,0,10
35,2290,bachelor's degree,70541.0,4.0,3.9,6,0,12
24,1715,associate's degree,82959.0,3.0,3.1,5,0,10
29,1952,some college,70871.0,3.7,3.5,4,0,8
31,2106,high school,57191.0,4.0,3.0,7,0,14
29,2018,some high school,52651.0,3.9,3.4,6,0,12
25,1856,some college,76085.0,3.5,3.6,3,0,6
29,2101,associate's degree,39594.0,3.9,3.5,4,0,8
31,2152,associate's degree,88339.0,4.0,3.4,7,0,14
33,2217,some college,79005.0,4.0,3.5,4,0,8
32,2077,high school,62571.0,4.0,3.2,5,0,10
30,2138,some college,78231.0,4.0,3.5,4,0,8
31,2138,bachelor's degree,69281.0,4.0,3.2,5,0,10
27,1875,some high school,39808.0,3.5,3.3,5,0,10
29,1967,associate's degree,76076.0,3.8,3.6,6,0,12
28,1945,high school,59708.0,3.4,3.6,5,0,10
29,2124,some college,92570.0,4.0,3.5,6,0,12
27,1800,high school,55685.0,3.4,3.0,5,0,10
29,1956,bachelor's degree,84773.0,3.7,3.3,7,0,14
29,2059,bachelor's degree,66884.0,3.9,3.3,5,0,10
29,2114,bachelor's degree,100011.0,4.0,3.7,7,0,14
28,1855,some high school,30246.0,3.5,3.2,5,0,10
25,1864,some college,68990.0,3.2,3.0,6,0,12
30,2099,some high school,44058.0,4.0,3.2,8,0,16
32,2204,some college,61511.0,4.0,3.2,5,0,10
32,2266,some college,55909.0,4.0,3.4,4,0,8
28,1935,high school,76499.0,3.6,3.2,5,0,10
24,1685,some high school,42246.0,3.1,3.0,6,0,12
30,2102,some high school,38675.0,3.9,3.4,5,0,10
32,2180,bachelor's degree,72370.0,4.0,3.7,4,0,8
28,1934,some high school,64746.0,3.7,3.0,5,0,10
27,1923,high school,44380.0,3.6,3.5,5,0,10
28,2103,master's degree,95091.0,4.0,3.7,4,0,8
28,2013,high school,54189.0,3.7,3.3,4,0,8
29,2113,some college,72302.0,4.0,3.5,8,0,16
25,1934,associate's degree,55311.0,3.4,3.5,3,0,6
32,2222,associate's degree,62214.0,4.0,3.4,4,0,8
29,2044,associate's degree,79376.0,3.8,3.6,8,0,16
27,1974,bachelor's degree,70771.0,3.5,3.0,6,0,12
31,2070,bachelor's degree,94779.0,4.0,3.5,4,0,8
25,1806,some college,76153.0,3.4,3.2,4,0,8
26,1771,high school,57030.0,3.3,3.2,4,0,8
27,1960,high school,47355.0,3.7,3.3,5,0,10
29,2111,associate's degree,58606.0,4.0,3.4,5,0,10
28,1981,high school,68553.0,3.7,3.4,5,0,10
29,2063,some high school,78554.0,3.7,3.8,3,0,6
25,1937,some high school,47676.0,3.6,3.3,5,0,10
28,1989,some high school,79527.0,3.6,3.3,4,0,8
27,1957,associate's degree,65536.0,3.7,3.4,4,0,8
30,1992,some high school,66121.0,3.8,3.2,7,0,14
29,1938,associate's degree,76536.0,3.7,3.2,8,0,16
31,2146,high school,73118.0,4.0,3.3,7,0,14
26,1871,some college,47948.0,3.4,3.2,5,0,10
32,2132,some college,47343.0,4.0,3.6,5,0,10
27,1947,high school,50013.0,3.6,3.3,5,0,10
31,2072,high school,51642.0,3.9,3.5,4,0,8
28,2012,some college,66896.0,3.7,3.6,3,0,6
32,2083,bachelor's degree,89517.0,4.0,3.8,4,0,8
22,1598,some college,73060.0,2.8,3.0,5,0,10
29,2018,associate's degree,67213.0,3.7,3.3,4,0,8
30,2060,associate's degree,101694.0,3.8,3.8,3,0,6
32,2099,some high school,68197.0,4.0,3.4,6,0,12
29,2016,some high school,36428.0,3.8,3.2,5,0,10
29,2095,associate's degree,94662.0,4.0,3.9,6,0,12
29,2056,associate's degree,79834.0,3.9,3.4,4,0,8
27,1970,associate's degree,70870.0,3.5,3.3,6,0,12
35,2226,high school,81528.0,4.0,3.6,4,0,8
29,2041,associate's degree,99695.0,3.9,3.6,6,0,12
27,1868,some college,56722.0,3.5,3.3,4,0,8
29,2014,some college,56964.0,3.9,2.9,9,0,18
24,1888,bachelor's degree,66372.0,3.4,3.3,4,0,8
24,1733,associate's degree,47323.0,3.2,2.9,6,0,12
28,1956,associate's degree,62151.0,3.6,3.4,4,0,8
30,2056,high school,72235.0,3.9,3.4,5,0,10
32,2136,some college,58269.0,4.0,3.7,3,0,6
28,1849,high school,49161.0,3.4,3.5,5,0,10
32,2170,bachelor's degree,92676.0,4.0,3.6,4,0,8
28,1899,high school,60887.0,3.6,3.4,8,0,16
30,2098,associate's degree,53931.0,4.0,3.3,5,0,10
24,1748,some college,89555.0,3.2,3.4,4,0,8
30,2146,bachelor's degree,102741.0,4.0,3.5,4,0,8
30,2087,some college,51943.0,4.0,3.3,4,0,8
27,2048,master's degree,89723.0,3.8,3.3,4,0,8
28,1938,high school,56564.0,3.5,3.2,8,0,16
27,1978,some college,74675.0,3.6,3.4,4,0,8
30,2235,bachelor's degree,75686.0,4.0,3.5,4,0,8
26,1917,some college,48630.0,3.5,3.3,5,0,10
31,2086,associate's degree,79405.0,4.0,3.8,3,0,6
27,1894,some college,72324.0,3.6,3.6,3,0,6
26,1969,some high school,57007.0,3.6,3.2,5,0,10
26,1872,high school,30384.0,3.4,2.9,6,0,12
